"setting","score","lead","iid","AR2","AR1","AR1-iid","AR2-iid","AR2-AR1"
7,"CRPS",1,2.0074218579753,1.73266301694443,1.62849592937374,-0.378925928601559,-0.274758841030875,0.104167087570684
7,"CRPS",2,2.33404818810707,2.05855786511021,2.02356059260284,-0.310487595504227,-0.275490322996859,0.0349972725073675
7,"CRPS",3,1.94224248277945,1.78233367093761,1.8274048524324,-0.114837630347052,-0.159908811841843,-0.0450711814947908
7,"CRPS",4,2.13118855751239,1.94678311704667,2.02343778505019,-0.107750772462196,-0.184405440465714,-0.0766546680035183
7,"CRPS",5,2.0575961226778,1.9366553212131,2.05068381075809,-0.00691231191970765,-0.120940801464706,-0.114028489544998
7,"CRPS",6,2.25657211503654,2.13091224985787,2.18382124341306,-0.0727508716234753,-0.125659865178666,-0.0529089935551905
7,"CRPS",7,2.00581007136522,1.92079129503682,1.96975118203377,-0.0360588893314537,-0.0850187763284029,-0.0489598869969492
7,"CRPS",8,2.46076898973525,2.3485196380915,2.42366180915204,-0.0371071805832095,-0.112249351643758,-0.0751421710605489
7,"CRPS",9,2.1404439451543,2.03221938893332,2.14471190846072,0.00426796330642354,-0.108224556220978,-0.112492519527402
7,"CRPS",10,2.31550959636384,2.20667980745371,2.35993009364359,0.0444204972797486,-0.108829788910127,-0.153250286189876
7,"CRPS",11,2.1374920223949,2.00212422118621,2.22541993469471,0.0879279122998056,-0.135367801208699,-0.223295713508505
7,"CRPS",12,1.96319422354989,1.92684929614344,2.07580966933821,0.112615445788325,-0.0363449274064496,-0.148960373194775
7,"CRPS",13,2.20764673107117,2.09419968541758,2.18206318050846,-0.0255835505627089,-0.113447045653583,-0.0878634950908737
7,"CRPS",14,1.91468660920422,1.96885045986295,2.04332388047635,0.12863727127213,0.054163850658739,-0.0744734206133906
7,"CRPS",15,2.32223486943652,2.41672917457009,2.4305074428727,0.108272573436182,0.09449430513357,-0.0137782683026115
7,"Brier95",1,0.0321292217277778,0.0312023695777778,0.0305892586486111,-0.00153996307916666,-0.000926852149999997,0.000613110929166667
7,"Brier95",2,0.0732039158069445,0.0750768226166667,0.0731249841583333,-7.89316486111136e-05,0.00187290680972221,0.00195183845833333
7,"Brier95",3,0.0451352687861111,0.0448476152944444,0.04573131625,0.000596047463888888,-0.000287653491666665,-0.000883700955555553
7,"Brier95",4,0.0686856461583333,0.0689587609625,0.0690238557013889,0.000338209543055551,0.000273114804166669,-6.50947388888823e-05
7,"Brier95",5,0.0452312788666667,0.0467355805819444,0.0477033140388889,0.00247203517222222,0.00150430171527777,-0.000967733456944446
7,"Brier95",6,0.0707988896736111,0.0717241349875,0.0696012373069444,-0.00119765236666668,0.000925245313888878,0.00212289768055555
7,"Brier95",7,0.0416852025055556,0.0419446190583333,0.0439611882986111,0.00227598579305556,0.00025941655277778,-0.00201656924027778
7,"Brier95",8,0.0972457998805556,0.0964346154972222,0.0987916020875,0.00154580220694445,-0.00081118438333333,-0.00235698659027778
7,"Brier95",9,0.0526871524875,0.0531543013,0.0558245423694444,0.00313738988194445,0.000467148812499998,-0.00267024106944445
7,"Brier95",10,0.0648141257430556,0.0652968980305556,0.0697330726861111,0.00491894694305554,0.000482772287499988,-0.00443617465555556
7,"Brier95",11,0.0411141823236111,0.0421735172277778,0.0474538448097222,0.00633966248611111,0.00105933490416667,-0.00528032758194445
7,"Brier95",12,0.0420615015805556,0.0475712599125,0.0488805921972222,0.00681909061666667,0.00550975833194444,-0.00130933228472223
7,"Brier95",13,0.0547213111902778,0.0523739506847222,0.0532908496263889,-0.00143046156388889,-0.00234736050555555,-0.000916898941666661
7,"Brier95",14,0.0315109150097222,0.0385550437902778,0.0386909838805556,0.00718006887083333,0.00704412878055555,-0.000135940090277779
7,"Brier95",15,0.0737115209152778,0.0781174577805556,0.0815130524527778,0.0078015315375,0.00440593686527778,-0.00339559467222222
